cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
1212.061,0.09041542036440614,0.09362886840624685,0.0928567982661831,0.08901395824804961,0.09405335496872673
1213.026,0.08746737458062559,0.09060665343554329,0.08986966872997461,0.08600965043984121,0.09104667035199712
1213.99,0.08455193690088236,0.08761634059145691,0.08691489227433251,0.08303234229584126,0.0880679827484987
1214.954,0.0816903291661703,0.08468419846268814,0.08401449218748898,0.08010163960106491,0.08514466499430715
1215.918,0.07890833263409648,0.08183814594305212,0.08119396508288972,0.07724370816275077,0.08230986205536187
1216.883,0.07623388353181951,0.0791051314239291,0.07847822436709433,0.0744865554638868,0.07959275712623512
1217.847,0.07369716046433729,0.07650939677480607,0.07589235571916934,0.07186034240463338,0.0770187376658262
1218.811,0.07132046561878115,0.07407150675050234,0.07345890713977352,0.06939229439480417,0.07460436318694086
1219.775,0.06912366140798343,0.07181047120679734,0.0712012432345293,0.06710782385656255,0.07236542785500419
1220.74,0.06712335759881613,0.06974509464878001,0.0691425532950828,0.06503319854035482,0.07032052798176963
1221.704,0.06533869383177113,0.06789774817017538,0.06730850908340452,0.06319298921485063,0.06849593029968529
