cm-1,CB-5e-3_0,no-agent_0,CB-5e-3_60,no-agent_60,CB-5e-3_300,no-agent_300,CB-5e-3_3600,no-agent_3600
2163.775,-0.08604345574109874,0.036394543264276276,-0.07278920207964096,-0.05984665365472019,-0.07976723748041768,-0.06496123651345397,-0.06086192028586481,-0.05723117585407883
2164.74,-0.08548514046361771,0.03685397951162809,-0.07227685525914794,-0.059344854343158816,-0.07960360341140929,-0.06473029012456243,-0.06071405350639591,-0.05714562949498307
2165.704,-0.08505673319427691,0.037185187583776216,-0.07192571977575213,-0.05896358738220734,-0.07956005057338049,-0.06453063537565194,-0.06060199872613809,-0.05707983428556363
2166.668,-0.08477588141177327,0.03739716190308208,-0.07170521985572552,-0.058744005341205545,-0.07960730262034572,-0.0643899709990359,-0.06054650067963582,-0.05702704095248984
2167.632,-0.08465459136216842,0.0374813116430595,-0.07159961678180549,-0.058713926844049746,-0.07974421753111957,-0.06432489718080409,-0.06056293109063509,-0.056993318398796906
2168.597,-0.0846966841822852,0.03742155062525436,-0.07161969890788915,-0.05888777071399049,-0.07998122987999015,-0.06432580901721976,-0.06064546025971839,-0.056993478285816336
2169.561,-0.08490185474884895,0.03720565566030377,-0.0717869096222755,-0.05925682326793841,-0.08031391674548596,-0.06436290510841403,-0.0607702435053513,-0.057047200324343385
2170.525,-0.08526952119887089,0.03683140697089417,-0.07211787176098558,-0.05977604994567854,-0.08071692434563771,-0.06443113633035384,-0.06091240513684424,-0.057173708377075416
2171.489,-0.08579702966945088,0.03631457362443479,-0.07260718939286695,-0.060370739753180816,-0.08115200286004266,-0.06456044017789553,-0.06106676934984792,-0.05737551641225404
2172.454,-0.08647090861322011,0.03568724149300338,-0.07323624339787657,-0.060960622130911815,-0.08158009705759409,-0.06480733009456259,-0.06124200976836214,-0.05763427484301153
2173.418,-0.08725765478503676,0.03499729434436372,-0.07398309219381198,-0.06149818428341044,-0.08196058857226211,-0.06520064120581327,-0.06145198274026058,-0.05790925670346352
2174.382,-0.0881090764472368,0.03429676721813867,-0.07481460237767976,-0.061982882038741485,-0.08226012140915358,-0.06570328082282802,-0.06169796491781925,-0.05816161965344398
2175.346,-0.08897131224596044,0.03361324877522525,-0.07568771876930892,-0.062451258102080534,-0.08247154084235869,-0.0662206459174809,-0.06196986071474715,-0.05837360602824221
2176.311,-0.08979814664893852,0.03294538408661392,-0.07655098355191592,-0.06293591079858893,-0.08262555766940419,-0.06665485017007472,-0.062261010088683066,-0.05855901373744951
2177.275,-0.09055720110961127,0.03226261517889729,-0.077357208640975,-0.06345280134967742,-0.08278702550971027,-0.06695710352762163,-0.06257837062154305,-0.05874992224049536
2178.239,-0.09124149682005808,0.03153931371400073,-0.07808378936521486,-0.06398799964701814,-0.08301155872625406,-0.0671452922738425,-0.06292692091122729,-0.05896651472219366
2179.203,-0.09186844709460237,0.030777180560255402,-0.07872888731896324,-0.064520341908215,-0.08331212032892935,-0.06726780498151225,-0.06328736586358062,-0.05920273928876654
2180.167,-0.09247193480850675,0.030009512377364583,-0.07930945162016395,-0.06503312517431505,-0.08365692517175627,-0.06735675326291111,-0.06360498241884825,-0.059429897921152844
