cm-1,CB-5e-4_0,CB-5e-4_30,CB-5e-4_120,CB-5e-4_9001
1093.487,1.525828427919756,1.5126953465465527,1.497457637048284,1.479351234476078
1095.415,1.4353052079648514,1.4225283653368588,1.407524839927641,1.3902587787519638
1097.344,1.3453863061991371,1.3333247618843242,1.318811733018538,1.302432160877702
1099.272,1.2571325541985332,1.2460790376213597,1.2322589545654594,1.2168086980959194
1101.201,1.1715120318837342,1.1616642145249412,1.1486809518090961,1.1341925483431592
1103.129,1.0893527257579583,1.0808037049034056,1.0687360948824225,1.0552217705227762
1105.058,1.0113161627952163,1.0040600133359736,0.9929296447812305,0.9803769557852513
1106.987,0.9378868437239254,0.9318439225158046,0.9216263301824791,0.9099986321318287
1108.915,0.8693807330098728,0.8644268314266155,0.8550731689688922,0.8443145014908986
1110.844,0.8059603766007944,0.8019566283264337,0.7934153613808246,0.7834586249539242
1112.772,0.7476561389724827,0.7444737162493125,0.7367056988760206,0.7274800779345716
1114.701,0.6943999422537773,0.6919422237002774,0.6849272090040529,0.6763603825725173
1116.629,0.6460374905866452,0.6442546521660472,0.6379899784098301,0.6300156786695933
1118.558,0.6023471363858833,0.6012552759885587,0.5957439869973833,0.5883032463652929
1120.486,0.5630586911487631,0.5627481011146441,0.5579909364041074,0.5510366936793558
1122.415,0.5278688665588359,0.5285029681966422,0.5244892583616356,0.5179899119845189
1124.344,0.4964579567329007,0.4982514498535538,0.49495742010598065,0.4888973394555808
1126.272,0.4685085797652252,0.4716779931201481,0.46906839177174564,0.46344407716332064
1128.201,0.4437156653930144,0.4484118210770067,0.44644434000265837,0.44125741977329114
1130.129,0.4217914315890017,0.428027960539119,0.42665836106744104,0.4219000319261171
1132.058,0.40246488594983015,0.41005922868617606,0.40924319840082807,0.40488483449431045
1133.986,0.38546988501279233,0.3940281714252343,0.3937247502645377,0.38970641396207245
1135.915,0.3705476332570856,0.37949219839490506,0.3796669177307067,0.3758975292127385
1137.843,0.35744179407238025,0.3660926152093051,0.3667196482137191,0.36308494475343833
1139.772,0.3459126832738457,0.35359311827406126,0.3546590568555394,0.3510380221578815
1141.7,0.33574935447108567,0.34189228676158245,0.3433981733403659,0.33967975735502776
1143.629,0.3267782444176923,0.3310007098121752,0.3329586498380556,0.32906143538406635
1145.557,0.31887368350602147,0.3210020963477182,0.3234292448956475,0.31930898808461616
1147.486,0.31194028547394786,0.31198498223164567,0.3148954589189576,0.3105462313128024
1149.415,0.30589942029225065,0.30399460665096883,0.30738746521097093,0.30283617059721063
1151.343,0.30067219387235483,0.2970019769871973,0.3008583228998551,0.29615410132065817
